avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28386,25745,28099,1000000,14,397,FALSE
27955,25874,28253,1000000,14,398,FALSE
28281,25775,28137,1000000,14,399,FALSE
28364,25771,28140,1000000,14,400,FALSE
28230,25809,28178,1000000,14,401,FALSE
28412,25739,28097,1000000,14,402,FALSE
27799,25900,28268,1000000,14,403,FALSE
28349,25747,28101,1000000,14,404,FALSE
28282,25788,28157,1000000,14,405,FALSE
28329,25770,28139,1000000,14,406,FALSE
28128,25825,28196,1000000,14,407,FALSE
28419,25728,28081,1000000,14,408,FALSE
27483,26020,28414,1000000,14,409,FALSE
28334,25760,28120,1000000,14,410,FALSE
28108,25826,28193,1000000,14,411,FALSE
28144,25815,28183,1000000,14,412,FALSE
28025,25860,28234,1000000,14,413,FALSE
27994,25852,28221,1000000,14,414,FALSE
27920,25887,28268,1000000,14,415,FALSE
27815,25907,28283,1000000,14,416,FALSE
28220,25799,28166,1000000,14,417,FALSE
28415,25732,28083,1000000,14,418,FALSE
28618,25668,28010,1000000,14,419,FALSE
28421,25741,28097,1000000,14,420,FALSE
27995,25854,28221,1000000,14,421,FALSE
28062,25851,28226,1000000,14,422,FALSE
28015,25853,28221,1000000,14,423,FALSE
28065,25836,28207,1000000,14,424,FALSE
28222,25801,28168,1000000,14,425,FALSE
28072,25827,28189,1000000,14,426,FALSE
28057,25865,28250,1000000,14,427,FALSE
28357,25754,28115,1000000,14,428,FALSE
27807,25915,28293,1000000,14,429,FALSE
28158,25811,28178,1000000,14,430,FALSE
27679,25948,28328,1000000,14,431,FALSE
27789,25910,28284,1000000,14,432,FALSE
27672,25939,28314,1000000,14,433,FALSE
28261,25783,28147,1000000,14,434,FALSE
28591,25708,28072,1000000,14,435,FALSE
27784,25917,28293,1000000,14,436,FALSE
28543,25690,28034,1000000,14,437,FALSE
28256,25770,28126,1000000,14,438,FALSE
28383,25755,28119,1000000,14,439,FALSE
28209,25793,28153,1000000,14,440,FALSE
28044,25846,28212,1000000,14,441,FALSE
28004,25846,28210,1000000,14,442,FALSE
28320,25783,28156,1000000,14,443,FALSE
28621,25675,28022,1000000,14,444,FALSE
28189,25808,28174,1000000,14,445,FALSE
28034,25839,28205,1000000,14,446,FALSE
28018,25847,28216,1000000,14,447,FALSE
28919,25610,27964,1000000,14,448,FALSE
27957,25877,28251,1000000,14,449,FALSE
28094,25825,28189,1000000,14,450,FALSE
27860,25901,28278,1000000,14,451,FALSE
28656,25660,28007,1000000,14,452,FALSE
28500,25695,28036,1000000,14,453,FALSE
27873,25880,28247,1000000,14,454,FALSE
28806,25630,27979,1000000,14,455,FALSE
27931,25869,28239,1000000,14,456,FALSE
28338,25751,28107,1000000,14,457,FALSE
27938,25866,28229,1000000,14,458,FALSE
28720,25669,28027,1000000,14,459,FALSE
28254,25785,28146,1000000,14,460,FALSE
28008,25856,28224,1000000,14,461,FALSE
27826,25893,28260,1000000,14,462,FALSE
28367,25743,28099,1000000,14,463,FALSE
28013,25853,28221,1000000,14,464,FALSE
28514,25707,28060,1000000,14,465,FALSE
28048,25832,28196,1000000,14,466,FALSE
28584,25708,28073,1000000,14,467,FALSE
28432,25734,28092,1000000,14,468,FALSE
27789,25904,28272,1000000,14,469,FALSE
28340,25762,28119,1000000,14,470,FALSE
28518,25707,28060,1000000,14,471,FALSE
28480,25728,28087,1000000,14,472,FALSE
28329,25753,28105,1000000,14,473,FALSE
28302,25761,28117,1000000,14,474,FALSE
27996,25851,28220,1000000,14,475,FALSE
27938,25870,28237,1000000,14,476,FALSE
27755,25934,28320,1000000,14,477,FALSE
27953,25874,28245,1000000,14,478,FALSE
27992,25864,28237,1000000,14,479,FALSE
28260,25760,28114,1000000,14,480,FALSE
28504,25721,28079,1000000,14,481,FALSE
28137,25827,28200,1000000,14,482,FALSE
28458,25724,28078,1000000,14,483,FALSE
27934,25884,28261,1000000,14,484,FALSE
28532,25705,28056,1000000,14,485,FALSE
28377,25741,28096,1000000,14,486,FALSE
28189,25790,28147,1000000,14,487,FALSE
28070,25838,28209,1000000,14,488,FALSE
28609,25690,28046,1000000,14,489,FALSE
28165,25819,28191,1000000,14,490,FALSE
27370,26030,28421,1000000,14,491,FALSE
28443,25712,28055,1000000,14,492,FALSE
27939,25862,28227,1000000,14,493,FALSE
28497,25719,28076,1000000,14,494,FALSE
28267,25774,28131,1000000,14,495,FALSE
27859,25904,28281,1000000,14,496,FALSE
27993,25841,28201,1000000,14,497,FALSE
28377,25750,28111,1000000,14,498,FALSE
28240,25780,28139,1000000,14,499,FALSE
27605,25962,28337,1000000,14,500,FALSE
27459,26005,28390,1000000,14,501,FALSE
28396,25745,28101,1000000,14,502,FALSE
28410,25732,28084,1000000,14,503,FALSE
28519,25724,28090,1000000,14,504,FALSE
28127,25839,28212,1000000,14,505,FALSE
28615,25686,28042,1000000,14,506,FALSE
27843,25905,28285,1000000,14,507,FALSE
28127,25828,28201,1000000,14,508,FALSE
28428,25732,28086,1000000,14,509,FALSE
27980,25879,28258,1000000,14,510,FALSE
27993,25862,28231,1000000,14,511,FALSE
28258,25797,28165,1000000,14,512,FALSE
28472,25725,28083,1000000,14,513,FALSE
28181,25819,28190,1000000,14,514,FALSE
28518,25699,28049,1000000,14,515,FALSE
27498,26002,28392,1000000,14,516,FALSE
27983,25861,28236,1000000,14,517,FALSE
28382,25741,28100,1000000,14,518,FALSE
27796,25911,28282,1000000,14,519,FALSE
28116,25816,28180,1000000,14,520,FALSE
28033,25863,28241,1000000,14,521,FALSE
28313,25755,28107,1000000,14,522,FALSE
28260,25790,28154,1000000,14,523,FALSE
28827,25616,27955,1000000,14,524,FALSE
27749,25920,28295,1000000,14,525,FALSE
28254,25789,28153,1000000,14,526,FALSE
